Country,srcYear,srcCalendarDay,ASI Monuments,Number of Tourists,YearCode,Year,DayCode,CalendarDay
India,2019,24-Sep-2019,Agra Fort,5040,2019,"Financial Year (Apr - Mar), 2019",20190924,2019-09-24
India,2019,24-Sep-2019,Red Fort,8650,2019,"Financial Year (Apr - Mar), 2019",20190924,2019-09-24
India,2019,24-Sep-2019,Taj Mahal,14957,2019,"Financial Year (Apr - Mar), 2019",20190924,2019-09-24
India,2019,25-Sep-2019,Agra Fort,4111,2019,"Financial Year (Apr - Mar), 2019",20190925,2019-09-25
India,2019,25-Sep-2019,Red Fort,8340,2019,"Financial Year (Apr - Mar), 2019",20190925,2019-09-25
India,2019,25-Sep-2019,Taj Mahal,14911,2019,"Financial Year (Apr - Mar), 2019",20190925,2019-09-25
India,2019,25-Sep-2019,Qutub Minar,7004,2019,"Financial Year (Apr - Mar), 2019",20190925,2019-09-25
India,2019,26-Sep-2019,Taj Mahal,16138,2019,"Financial Year (Apr - Mar), 2019",20190926,2019-09-26
India,2019,26-Sep-2019,Red Fort,8042,2019,"Financial Year (Apr - Mar), 2019",20190926,2019-09-26
India,2019,26-Sep-2019,Qutub Minar,6961,2019,"Financial Year (Apr - Mar), 2019",20190926,2019-09-26
India,2019,26-Sep-2019,Agra Fort,2950,2019,"Financial Year (Apr - Mar), 2019",20190926,2019-09-26
India,2019,27-Sep-2019,Taj Mahal,0,2019,"Financial Year (Apr - Mar), 2019",20190927,2019-09-27
India,2019,27-Sep-2019,Red Fort,8019,2019,"Financial Year (Apr - Mar), 2019",20190927,2019-09-27
India,2019,27-Sep-2019,Qutub Minar,8010,2019,"Financial Year (Apr - Mar), 2019",20190927,2019-09-27
India,2019,27-Sep-2019,Agra Fort,4724,2019,"Financial Year (Apr - Mar), 2019",20190927,2019-09-27
India,2019,28-Sep-2019,Qutub Minar,9107,2019,"Financial Year (Apr - Mar), 2019",20190928,2019-09-28
India,2019,28-Sep-2019,Red Fort,9623,2019,"Financial Year (Apr - Mar), 2019",20190928,2019-09-28
India,2019,28-Sep-2019,Taj Mahal,20704,2019,"Financial Year (Apr - Mar), 2019",20190928,2019-09-28
India,2019,28-Sep-2019,Agra Fort,6969,2019,"Financial Year (Apr - Mar), 2019",20190928,2019-09-28
India,2019,29-Sep-2019,Qutub Minar,13474,2019,"Financial Year (Apr - Mar), 2019",20190929,2019-09-29
India,2019,29-Sep-2019,Agra Fort,7604,2019,"Financial Year (Apr - Mar), 2019",20190929,2019-09-29
India,2019,29-Sep-2019,Red Fort,14122,2019,"Financial Year (Apr - Mar), 2019",20190929,2019-09-29
